Answer,Question,Unnamed--4,Unnamed--5
"Completely understand the question around costs—fundraising is crucial, and every dollar counts. 

Our flexible fundraising packages are customized based on your specific fundraising challenges, starting at just $1,000 for tailored investor mapping, targeted outreach, and personalized pitch preparation. To fully align our success with yours, for end to end fundraising we work primarily on a success-based model—taking just a modest 3–5% success fee on the funds successfully raised, ensuring our interests remain completely aligned. 

Importantly, your initial platform fee is fully credited against this success fee, meaning no net upfront costs once fundraising is successful. 

Let’s discuss which flexible option would best fit your situation. Are you available for a short call this week to go over your needs in detail?""",Do you charge money upfront?,,
"There is no minimum or maximum limit to the investor meetings. Our goal is not to provide you with just investor meetings. We are investment bankers and we are here to raise funds for you.

Therefore, it doesn't matter to us whether we are getting you two investor meetings or 20 investor meetings. What matters to us is that we should be able to raise funding for you with the right investor. It can happen after 30 meetings and it can happen after one meeting as well.

You don't need hundreds of investors to invest in your company. You just need one or two good investors to invest in your company.

That's why we don't count on the number of meetings, we just count on the quality of the meeting that we should put you in front of the right investor.",How many investor meetings will you be able to get for me?,,
"“Yes, we can definitely help. We have facilitated partial acquisitions and strategic investments for multiple companies. The process is similar: we identify and reach out to potential buyers or strategic investors based on your sector and requirements. Once they express interest, we manage the entire conversation—from initial pitch to due diligence—until the acquisition or investment closes.”",We’re considering a partial or full acquisition. Do you handle Mergers and Acquisitions or strategic buyout deals?,,
"After identifying all the potential investors for your company, our team will prepare an elevator pitch/intro pitch about your company. They will get it approved by you and then we’ll start sharing it with those investors.

Once the investors show their interest, then we’ll provide them with your Pitch Deck, Financial Model and set up meetings between you and those investors.",How will you pitch our business to these investors?,,
"No, 3-4 months is a tentative timeline. We’ll keep on working with you till you get the funding or we exhaust our entire pool of relevant investors for your company and have received their final decision.",Will you stop working with us if you are not able to raise funds within three to four months?,, 
Qubit Capital does not assist with any form of debt financing or loans.,What are the different ways of Debt financing you can offer us? / Do you offer Debt financing or loans,,
"“Yes. Each time an investor declines or requests more info, our team notes their feedback and passes it along to you. Sometimes the reason is a sector mismatch; other times it might be valuation concerns. We believe in transparent communication so you can fine-tune your documents or approach accordingly.”",Will we receive ongoing investor feedback—especially if they say ‘no’—so we can improve our pitch?,,
"“Absolutely. During onboarding, we define whether you’re looking for purely financial backers, corporates seeking strategic synergies, family offices, or a mix. If you only want strategic investors, we filter accordingly, focusing on corporate venture arms or relevant large companies that invest in your industry.”","If we want to approach only strategic or corporate VCs (no pure financial investors), is that feasible?",,
"We can share the video testimonials of multiple clients who have successfully raised capital through Qubit. It is not practical to share the contact information of all the successful clients because the clients don't like that on any random day any potential client of Qubit reaches out to them, asks for feedback, asks for a call or email.

Earlier we used to provide the references of all our successful clients but later on, those clients came back to us complaining that on a regular basis they are getting email and call requests from various startups who are looking to raise funds through Qubit. It became very difficult and irritating for them.

That's where we have stopped it and from that time we have started taking the video testimonials from the clients so that it can be authentic. Written testimonials can be manipulated, but it cannot be done in video testimonials.",Can you connect us with the companies which have successfully raised funding through Qubit? ,,
"Completely understand the question around costs—fundraising is crucial, and every dollar counts. 

Our flexible fundraising packages are customized based on your specific fundraising challenges, starting at just $1,000 for tailored investor mapping, targeted outreach, and personalized pitch preparation. To fully align our success with yours, for end to end fundraising we work primarily on a success-based model—taking just a modest 3–5% success fee on the funds successfully raised, ensuring our interests remain completely aligned. 

Importantly, your initial platform fee is fully credited against this success fee, meaning no net upfront costs once fundraising is successful. 

Let’s discuss which flexible option would best fit your situation. Are you available for a short call this week to go over your needs in detail?""",How does Qubit Capital assist investors in finding promising startups?,,
"Unfortunately, we will only be able to schedule a virtual call as we are a remote team based out of India.

",Can we meet in person?,,
In the last 4 years we have worked with 200+ startups out of them we have successfully raised funding for 64 startups till date with a cumulative amount of over $215 Mn and many deals are at the advanced level conversations with the investors currently.,How many startups have you worked with and how much funding have you raised for them?,,
"Post we onboard you, we'll assign you an account manager who will set up a meeting with you to understand your business in detail and to understand your investor persona. He/she will ask you to share the existing pitch deck & financial model for their review.

Once you share these documents with us, our team will take 2-3 working days to review them and they will share their feedback with you. Post that they will prepare an elevator pitch on your behalf and will get it verified from you.

Once we finalise the elevator pitch, we'll start reaching out to the prospective investors. We can start expecting their interest in 2-3 weeks time.

After that we'll share the Pitch Deck, Financial Model and other information with them which they will be looking for. They will take another 1-2 week time to review all the documents & information shared by us. And after that the meetings with those investors will start happening.

Overall it will be an approx 3-4 months process from the point we start reaching out to the investors till the time money will be in your bank.",How does the post onboarding timeline work?,,
"We work on a reverse approach where we first understand the thesis of the investors who are there in our network & platform. We understand what kind of startups they are looking to invest in and based on their thesis, our system identifies all the potential startups for them, and that's how we guys have reached out to you.

It’s not the other way round where you have reached out to us asking for getting the funding. If we have reached out to you, that definitely means that we already have the investors in our network and platform who are looking to invest into this industry, this sector and this geography. I'm not saying that they want to invest in your company directly, but yes, the first level of filtration has already been done because your company matches the requirements of the investors, which we are having.

Post that we get on a call with the founders to understand about their business in detail, post call we review their business & match the relevant investors for them and then we decide whether we can help them raise capital or not.

Our Take Rate is 7-8% which means we only work with 7-8% of the startups to whom we speak with.",How do you decide whether you want to work with any startup or not? How do you do your due diligence?,,
"The current economic situation has definitely changed the way the market used to operate. Earlier the investors were investing based on the industry wave & FOMO, but now they are a bit cautious. They are not investing in any random startup, they are doing the proper due diligence before investing their money.

Even during the financial crisis & funding winter we were able to secure funding for our multiple clients and have proven the negative sentiments wrong.",How do you see the current economic downfall? Are these investors investing in startups in this situation?,,
"No, there is no exclusivity. We work on a non-exclusive mandate and you are free from day one to work with any investor, any other advisor or investment banker directly. You are only liable to pay the success fee to us when you get the funding from the investor introduced by us.",Is there any exclusivity on which you work?,,
"No, there is no registration process and it is not a DIY platform where you can sign up, register and do everything on your own.

It’s a managed service where everything is managed by our team. You don't have to do anything till the time the meeting with the investor happens. You need to contact us, we’ll review your business and then we can onboard you.",Do we have to register on your platform to use it?,,
"Completely understand the question around costs—fundraising is crucial, and every dollar counts. 

Our flexible fundraising packages are customized based on your specific fundraising challenges, starting at just $1,000 for tailored investor mapping, targeted outreach, and personalized pitch preparation. To fully align our success with yours, for end to end fundraising we work primarily on a success-based model—taking just a modest 3–5% success fee on the funds successfully raised, ensuring our interests remain completely aligned. 

Importantly, your initial platform fee is fully credited against this success fee, meaning no net upfront costs once fundraising is successful. 

Let’s discuss which flexible option would best fit your situation. Are you available for a short call this week to go over your needs in detail?""",What is your business model,,
"At Qubit, we combine advanced AI-driven matchmaking technology with our seasoned team's 15+ years of fundraising experience to find your perfect investor fit rom our extensive network of over 20,000 VCs, Family Offices, Strategic Corporates, Private Equity Funds, and Angels across 90+ countries, including the USA, UK, Europe, Latin America, Southeast Asia, Middle East, India, and beyond. 

We carefully analyze your sector, stage, geography, and funding needs to identify relevant investors from our global network, ensuring highly targeted and effective outreach. Our fundraising experts support you from investor introductions, pitch deck refinement, negotiations, all the way until funds successfully reach your account.",How do you work,,
"Generally, it takes three to four months to close a deal from the point we start reaching out to the investors.

There was a deal where we were able to get the funding in just two weeks time but that was an exceptional case. Otherwise in general, it takes three to four months time to close a deal including all the processes.",How much time will it take to close the deal?,,
"""Once onboarded, here’s exactly how our end-to-end fundraising solution works: 

Deep Dive & Strategy - Our experienced team collaborates closely with you to understand your unique business model, vision, pains, challenges, and growth goals, creating a precise fundraising strategy. 

Investor Mapping & AI Matching - Leveraging cutting-edge AI technology, we identify and reach out to highly targeted investors matched by sector, geography, and funding stage. 

Collateral Refinement: We help refine pitch decks and financial models, making your story irresistible to investors. 

Investor Engagement & Meetings - Our team manages outreach and schedules meetings, streamlining the entire investor engagement process. 

Negotiation & Closing - We’re at your side for term sheet negotiations and legal documentation until funding hits your bank account. 

We handle everything, so you focus solely on growth.""",What does your process look like,,
"Yes, we do.",Do you accept your fee in Crypto currency?,,
"“Yes. We see that happen when a strategic investor sees an opportunity for a full or partial acquisition. We can switch gears from equity fundraising to M&A discussions, advising on valuations, due diligence, and negotiation. The same team manages your end-to-end process, so we remain agile if your strategy changes midstream.”","If a strategic buyer or big corporate approaches us for acquisition mid-process, can you manage that pivot?","
","
"
"""Once onboarded, here’s exactly how our end-to-end fundraising solution works: 

Deep Dive & Strategy - Our experienced team collaborates closely with you to understand your unique business model, vision, pains, challenges, and growth goals, creating a precise fundraising strategy. 

Investor Mapping & AI Matching - Leveraging cutting-edge AI technology, we identify and reach out to highly targeted investors matched by sector, geography, and funding stage. 

Collateral Refinement: We help refine pitch decks and financial models, making your story irresistible to investors. 

Investor Engagement & Meetings - Our team manages outreach and schedules meetings, streamlining the entire investor engagement process. 

Negotiation & Closing - We’re at your side for term sheet negotiations and legal documentation until funding hits your bank account. 

We handle everything, so you focus solely on growth.""",What does your process look like,,
"We can reach out to them as Qubit if you want or we can reach out using your identity, it will be your decision only.

From our past experience, what we have seen is that investors respond faster when it comes directly from the founders, especially when the investment banker is not in their direct network and they always love to hear the story from the founders directly.

But ultimately it will be your decision, if you want us to reach out to these investors as Qubit we can do that and if you want us to reach out to them using your identity, then we can do that as well.",Will you reach out to these investors as Qubit or as a startup?,,
"No, it is not the cold reachout because we are not reaching out to any random investor.

We are having two sets of investors, one who is into our direct network who knows Qubit and another who is outside our direct network, but at the same time they're looking for the opportunity to invest in a company like your’s. We identify all the potential investors for you from our network and outside our network as well and reach out to those investors on your behalf.

The investors who are in our direct network, we directly share the deal with them but the investors who are outside our network, we also share the deal with them because they are looking to invest in these kind of companies and we are solving a very big problem at their end in identifying the right startups and we provide them with the curated dealflow.",Is it a cold reachout which you will be doing to pitch these investors?,,
"Qubit Capital is sector agnostic in nature and serves a diverse range of industries, including fintech, healthcare, telecom, insurance, blockchain, retail, e-commerce, biotech, cleantech, software, travel, and edtech. Our broad industry expertise enables us to effectively connect startups and investors across various sectors.",What industries does Qubit Capital specialize in?,,
"I obtained your contact information from a business database called Apollo.io, which provides contact information for business networking purposes.

Apollo.io is responsible for ensuring all data is collected and shared in compliance with all relevant data protection regulations, including the GDPR.",Where did you get my contact information from?,,
"“No. Qubit Capital does not assist with any form of debt financing or loans, we can only assist you in raising equity",We’re raising part equity and part debt—can Qubit help with a mix of instruments in the same round?,,
"We provide the legal assistance in reviewing and vetting your termsheet, SHA (Shareholder’s Agreement) & other legal documents.

We’ll not prepare these documents nor will we doing the compliance part i.e issuing equity/debentures etc. to the investors. That will be done by your lawyers or CPA.",What kind of Legal Support you will be providing to us in this fundraising journey?,,
"After 2 levels of filtration we’ll finalise the list of potential investors for your company, we’ll reach out to them on your behalf and generate their interest. We do not consider that interest as a positive conversation.

Post that we share detailed information and documents of your company with them. Once they review that information and would like to take the conversation forward with you in terms of setting up meetings with you, understanding more about your business, that we consider as positive conversation.

Additional context: If we fail to secure even one such positive investor conversation within 45–60 days, we refund your onboarding fee.",What do you mean by positive investor conversation?,,
"“We can provide general insights on different instruments (SAFE, convertible notes, etc.) based on industry norms and investor expectations. We’ll share how each structure affects dilution and valuation. For legal specifics, we recommend consulting your own lawyer, but we do review term sheets and help you decide what’s typical in the market.”",What if the investor requires SAFE notes or a specific convertible structure—will you advise on the pros and cons?,,
"To date, Qubit Capital has facilitated over $215 million in funding for 64 startups globally. Our proven track record demonstrates our commitment to empowering startups and delivering exceptional returns for investors.",Can you share some success stories or achievements of Qubit Capital?,,
"Our success rate is between 30 to 35%. We never claim that we are 100% successful. Nobody in this world can be 100% successful for startup fundraising.

If you compare it with the industry standard, the industry standard is in single digit. That's 7 to 8% and ours is almost three to four times the industry standard. The only reason why we are able to maintain a higher success rate is because we are using the hybrid model wherein we are using our twelve-year-old expertise in dealing with the investors, closing the deals, along with the new age technology which we have created of doing the matchmaking between the startup and the investor.",What is your success rate?,,
We don’t facilitate crowdfunding but we can help you raise funding along with that. We can reach out to a specific set of accredited investors on your behalf and can raise funding through them alongside your crowdfunding campaign.,"I am already working with a crowdfunding platform, how can you work in parallel to that?",,
"10x Your Investor Network Globally: We connect you with a vast pool of over 20,000 global investors, including VCs, Family Offices, Corporate Funds, and Angel Investors. This significantly expands your reach and increases your chances of finding the perfect match.
Meet Relevant Investors: Our proprietary algorithm ensures you get to meet investors whose interests and investment thesis align with your vision and stage. Whether you're looking for seed funding or Series C, we'll connect you with the right people.
Integrated Fundraising Services: We provide end-to-end support, from crafting compelling pitch decks and financial statements to facilitating investor meetings. Our team of experienced fundraising consultants guides you through each step, ensuring a smooth and efficient process.
Save Time: By leveraging our extensive network and streamlined processes, you can focus on running and growing your business while we handle the intricacies of fundraising. We aim to reduce the time and effort you spend on fundraising, making it as effortless as possible.",Can you share a demo with me,,
In the last 4 years we have worked with 200+ startups out of them we have successfully raised funding for 64 startups till date with a cumulative amount of over $215 Mn and many deals are at the advanced level conversations with the investors currently.,How many startups have you worked with and how much funding have you raised for them?,,
"It depends on the valuation of the company.

We have to first identify the current valuation of your company by preparing a detailed financial model and based on that valuation you’ll be able to understand how much equity you have to dilute against the funding which you will receive from the investor.",How much equity I have to dilute if I have to get any investor?,,
"No, there is no registration process and it is not a DIY platform where you can sign up, register and do everything on your own.

It’s a managed service where everything is managed by our team. You don't have to do anything till the time the meeting with the investor happens. You need to contact us, we’ll review your business and then we can onboard you.",Do we have to register on your platform to use it?,,
"Many of them are associated with our platform and it is not a deal listing platform where they have to come and register. It is a complete back-end platform where everything is managed by our team.

Many of these investors are in our direct network and many of them are outside our network as well. But we provide them with the curated deals as per their requirements and they are also happy to work with us, so there is no official sign up which is required.",Have these investors signed up on your platform?,,
"We have been in this industry for the last 12 years so we have direct connect and direct network with the investors across the globe. But over the period we have realised that having that limited network is not enough. That's where we have started onboarding and connecting with the other investors outside our direct network.

We have a dedicated team of Investor Relations whose job is just to get on calls with these investors, build relations with them and understand their thesis.

Also we have subscribed to various public and private platforms through which we are gathering that data of these investors. Gathering data is just one small step, then we have our in-house team of data scientists and data engineers who are constantly refining that data, upgrading that data, and understanding the investment thesis of all these investors using Machine Learning algorithm.

Once we onboard any startup, our system matches them with the relevant investors as per their requirement using our AI matchmaking algorithm.",How are you getting the data of these investors?,,
"To make the most of our discussion, we recommend scheduling a virtual meeting via Google Meet instead of a phone call. A virtual meeting will allow us to share screens, enabling us to present insight into showcasing information on how we can help you connect with the right investors.",Can we get on a whatsapp call ?,,
"There is an exemption in the SEC law for the Foreign advisors which states that the foreign advisors can provide its services over the internet if it has fewer than 15 U.S. clients and implements measures reasonably designed to ensure that, based on its Internet activities, the adviser is not holding itself out as an investment adviser in the United States.

https://www.sec.gov/rules/1998/03/statement-commission-regarding-use-internet-web-sites-offer-securities-solicit",As per the SEC law (For USA) we can not work with any intermediary who is not registered as a broker dealer with the SEC.,,
"I obtained your contact information from a business database called Apollo.io.

Apollo.io is responsible for ensuring all data is collected and shared in compliance with all relevant data protection regulations, including the GDPR.",Are you complying to data privacy regulations?,,
"No, we don’t.",Do you do Project Financing or Loans?,,
"Completely understand the question around costs—fundraising is crucial, and every dollar counts. 

Our flexible fundraising packages are customized based on your specific fundraising challenges, starting at just $1,000 for tailored investor mapping, targeted outreach, and personalized pitch preparation. To fully align our success with yours, for end to end fundraising we work primarily on a success-based model—taking just a modest 3–5% success fee on the funds successfully raised, ensuring our interests remain completely aligned. 

Importantly, your initial platform fee is fully credited against this success fee, meaning no net upfront costs once fundraising is successful. 

Let’s discuss which flexible option would best fit your situation. Are you available for a short call this week to go over your needs in detail?",What is your pricing structure?,,
"“Yes. We can facilitate strictly secondary share sales (where existing shareholders sell part or all of their stakes). While many of our deals involve fresh capital, we also have investors open to secondary transactions—especially if they see clear upside in the company. We’ll ensure we target those with a history or interest in secondaries.”",Can you handle secondary transactions only (with no new capital being raised)?,,
"No, there is no registration process and it is not a DIY platform where you can sign up, register and do everything on your own.

It’s a managed service where everything is managed by our team. You don't have to do anything till the time the meeting with the investor happens. You need to contact us, we’ll review your business and then we can onboard you.",Do we have to register on your platform to use it?,,
"No, we don’t.",Do you do Project Financing or Loans?,,
"Yes, we have done the same for various companies in the past as well.

We can run 2 separate investor campaigns parallely for you- 1 for the bridge round and another for the bigger round. The set of investors will be different for both the rounds and this will help you save time, money & efforts in raising 2 separate funding rounds.",Can you help in raising the bridge round along with the bigger round?,,
"Yes, we do help you in identifying the estimated valuation of your company by preparing a detailed financial model with the projections of the next 5 years on a quarterly basis.

We calculate the current valuations using multiple methods which are accepted globally.",Do you help us in getting our valuation done?,,
"Yes, we do.",Do you accept your fee in Crypto currency?,,
"At Qubit, we combine advanced AI-driven matchmaking technology with our seasoned team's 15+ years of fundraising experience to find your perfect investor fit rom our extensive network of over 20,000 VCs, Family Offices, Strategic Corporates, Private Equity Funds, and Angels across 90+ countries, including the USA, UK, Europe, Latin America, Southeast Asia, Middle East, India, and beyond. 

We carefully analyze your sector, stage, geography, and funding needs to identify relevant investors from our global network, ensuring highly targeted and effective outreach. Our fundraising experts support you from investor introductions, pitch deck refinement, negotiations, all the way until funds successfully reach your account.",Can you tell me a little more about what you do ,,
"Many of them are associated with our platform and it is not a deal listing platform where they have to come and register. It is a complete back-end platform where everything is managed by our team.

Many of these investors are in our direct network and many of them are outside our network as well. But we provide them with the curated deals as per their requirements and they are also happy to work with us, so there is no official sign up which is required.",Have these investors signed up on your platform?,,
"The current economic situation has definitely changed the way the market used to operate. Earlier the investors were investing based on the industry wave & FOMO, but now they are a bit cautious. They are not investing in any random startup, they are doing the proper due diligence before investing their money.

Even during the financial crisis & funding winter we were able to secure funding for our multiple clients and have proven the negative sentiments wrong.",How do you see the current economic downfall? Are these investors investing in startups in this situation?,,
"We have all types of investors on our platform including Angels/HNIs (25%), Family Offices (15%), VCs (30%), Corporates (10%), Strategic Investors (15%) and Private Equity Funds (5%).

We have a network and database of 20,000 plus investors across the globe. If I have to give you a geographic distribution, 40% of our investors are based out of the USA. 30% are based out of the UK & Europe, and the remaining 30% are based out of Asia and a few other small geographies.",What type of investors do you have on your platform and where are these investors located?,,
